date,x_close,y_close
2012-06-20,0.0,1.0
2012-06-21,0.0,1.0
2012-06-22,0.0,1.0
2012-06-25,0.0,0.9622596720171529
2012-06-26,0.0,1.0
2012-06-27,-0.037740327982847086,1.0
2012-06-28,0.0,1.0377403279828472
2012-06-29,0.0,1.0
2012-07-02,0.03774032798284711,1.0
2012-07-03,0.0,1.0
2012-07-05,0.0,1.0
2012-07-06,0.0,1.0363676441708747
2012-07-09,0.0,0.9636323558291252
2012-07-10,0.03636764417087479,1.0
2012-07-11,-0.03636764417087483,1.0
2012-07-12,0.0,1.0
2012-07-13,0.0,1.0
2012-07-16,0.0,1.0
2012-07-17,0.0,0.9622596720171529
2012-07-18,0.0,1.0
2012-07-19,-0.037740327982847086,0.9607792868467188
2012-07-20,0.0,1.0
2012-07-23,-0.03922071315328127,1.0
2012-07-24,0.0,1.0
2012-07-25,0.0,1.0
2012-07-26,0.0,1.0
2012-07-27,0.0,1.0
2012-07-30,0.0,1.0392207131532814
2012-07-31,0.0,1.0
2012-08-01,0.03922071315328133,1.0
2012-08-02,0.0,1.0377403279828472
2012-08-03,0.0,0.9622596720171529
2012-08-06,0.03774032798284711,1.0377403279828472
2012-08-07,-0.037740327982847086,1.0363676441708747
2012-08-08,0.03774032798284711,0.9636323558291252
2012-08-09,0.03636764417087479,0.9622596720171529
2012-08-10,-0.03636764417087483,1.0
2012-08-13,-0.037740327982847086,1.0
2012-08-14,0.0,1.0
2012-08-15,0.0,1.0
2012-08-16,0.0,1.0
2012-08-17,0.0,1.0
2012-08-20,0.0,1.0
2012-08-21,0.0,1.0377403279828472
2012-08-22,0.0,1.0
2012-08-23,0.03774032798284711,1.0
2012-08-24,0.0,1.0
2012-08-27,0.0,0.9622596720171529
2012-08-28,0.0,1.0377403279828472
2012-08-29,-0.037740327982847086,1.0
2012-08-30,0.03774032798284711,0.9622596720171529
2012-08-31,0.0,1.0377403279828472
2012-09-04,-0.037740327982847086,1.0
2012-09-05,0.03774032798284711,1.0
2012-09-06,0.0,1.0
2012-09-07,0.0,1.0
2012-09-10,0.0,1.0
2012-09-11,0.0,1.0
2012-09-12,0.0,1.0
2012-09-13,0.0,1.0
2012-09-14,0.0,1.0
2012-09-17,0.0,1.0
2012-09-18,0.0,1.0
2012-09-19,0.0,1.0
2012-09-20,0.0,0.9622596720171529
2012-09-21,0.0,1.0377403279828472
2012-09-24,-0.037740327982847086,0.9622596720171529
2012-09-25,0.03774032798284711,1.0377403279828472
2012-09-26,-0.037740327982847086,1.0
2012-09-27,0.03774032798284711,1.0
2012-09-28,0.0,1.0
2012-10-01,0.0,1.0
2012-10-02,0.0,1.0
2012-10-03,0.0,1.0
2012-10-04,0.0,0.9622596720171529
2012-10-05,0.0,1.0377403279828472
2012-10-08,-0.037740327982847086,0.9622596720171529
2012-10-09,0.03774032798284711,1.0
2012-10-10,-0.037740327982847086,1.0
2012-10-11,0.0,1.0
2012-10-12,0.0,1.0
2012-10-15,0.0,1.0
2012-10-16,0.0,1.0377403279828472
2012-10-17,0.0,1.0
2012-10-18,0.03774032798284711,0.9622596720171529
2012-10-19,0.0,1.0
2012-10-22,-0.037740327982847086,1.0
2012-10-23,0.0,1.0
2012-10-24,0.0,1.0
2012-10-25,0.0,0.9199572923264636
2012-10-26,0.0,1.0
2012-10-31,-0.08004270767353637,1.0
2012-11-01,0.0,1.0408219945202553
2012-11-02,0.0,1.0
2012-11-05,0.0408219945202552,1.0
2012-11-06,0.0,1.0
2012-11-07,0.0,1.0392207131532814
2012-11-08,0.0,1.0
2012-11-09,0.03922071315328133,1.0
2012-11-12,0.0,1.0
2012-11-13,0.0,1.0
2012-11-14,0.0,1.0
2012-11-15,0.0,1.0
2012-11-16,0.0,1.0
2012-11-19,0.0,1.1758906664636641
2012-11-20,0.0,1.0
2012-11-21,0.1758906664636642,1.0
2012-11-23,0.0,1.0
2012-11-26,0.0,1.0
2012-11-27,0.0,1.0
2012-11-28,0.0,1.0
2012-11-29,0.0,1.0317486983145803
2012-11-30,0.0,1.0
2012-12-03,0.03174869831458027,1.0
2012-12-04,0.0,1.0
2012-12-05,0.0,1.0
2012-12-06,0.0,1.0
2012-12-07,0.0,1.0
2012-12-10,0.0,1.0
2012-12-11,0.0,1.0
2012-12-12,0.0,1.0
2012-12-13,0.0,1.0
2012-12-14,0.0,0.8664686073754774
2012-12-17,0.0,1.0350913198112701
2012-12-18,-0.13353139262452263,1.0
2012-12-19,0.03509131981127019,1.0
2012-12-20,0.0,1.0
2012-12-21,0.0,1.0
2012-12-24,0.0,1.0
2012-12-26,0.0,1.0
2012-12-27,0.0,1.0
2012-12-28,0.0,1.0
2012-12-31,0.0,0.890800708035008
2013-01-02,0.0,1.0
2013-01-03,-0.10919929196499197,1.0
2013-01-04,0.0,1.0
2013-01-07,0.0,1.0
2013-01-08,0.0,1.0
2013-01-09,0.0,1.0
2013-01-10,0.0,1.0
2013-01-11,0.0,0.9607792868467188
2013-01-14,0.0,1.0392207131532814
2013-01-15,-0.03922071315328127,1.0
2013-01-16,0.03922071315328133,1.0
2013-01-17,0.0,1.0
2013-01-18,0.0,1.0
2013-01-22,0.0,1.0
2013-01-23,0.0,1.0
2013-01-24,0.0,1.0
2013-01-25,0.0,0.9607792868467188
2013-01-28,0.0,1.0
2013-01-29,-0.03922071315328127,1.0
2013-01-30,0.0,1.0392207131532814
2013-01-31,0.0,1.0
2013-02-01,0.03922071315328133,1.0
2013-02-04,0.0,1.0
2013-02-05,0.0,1.0
2013-02-06,0.0,0.9607792868467188
2013-02-07,0.0,1.0
2013-02-08,-0.03922071315328127,1.0
2013-02-11,0.0,0.9591780054797449
2013-02-12,0.0,1.0
2013-02-13,-0.040821994520255166,1.0
2013-02-14,0.0,1.0
2013-02-15,0.0,1.0
2013-02-19,0.0,1.0
2013-02-20,0.0,1.0
2013-02-21,0.0,0.9574403855812041
2013-02-22,0.0,1.0
2013-02-25,-0.04255961441879589,1.0
2013-02-26,0.0,1.0
2013-02-27,0.0,1.0
2013-02-28,0.0,1.0
2013-03-01,0.0,0.9555482374291662
2013-03-04,0.0,1.0
2013-03-05,-0.04445176257083381,0.9534799843651072
2013-03-06,0.0,1.0
2013-03-07,-0.04652001563489282,1.0
2013-03-08,0.0,1.0
2013-03-11,0.0,1.0
2013-03-12,0.0,0.951209835830568
2013-03-13,0.0,1.0
2013-03-14,-0.048790164169432056,1.0
2013-03-15,0.0,0.9487067056124494
2013-03-18,0.0,1.0512932943875506
2013-03-19,-0.05129329438755058,0.9487067056124494
2013-03-20,0.05129329438755048,1.0
2013-03-21,-0.05129329438755058,1.0
2013-03-22,0.0,1.0
2013-03-25,0.0,1.0
2013-03-26,0.0,1.0
2013-03-27,0.0,1.0
2013-03-28,0.0,1.0
2013-04-01,0.0,1.0
2013-04-02,0.0,1.0
2013-04-03,0.0,1.0
2013-04-04,0.0,1.0
2013-04-05,0.0,1.0
2013-04-08,0.0,1.0
2013-04-09,0.0,1.0
2013-04-10,0.0,1.0
2013-04-11,0.0,1.0
2013-04-12,0.0,1.0
2013-04-15,0.0,1.0
2013-04-16,0.0,1.0
2013-04-17,0.0,1.0
2013-04-18,0.0,1.0
2013-04-19,0.0,1.0
2013-04-22,0.0,1.0
2013-04-23,0.0,1.0
2013-04-24,0.0,1.0
2013-04-25,0.0,1.0
2013-04-26,0.0,1.0
2013-04-29,0.0,1.0
2013-04-30,0.0,1.0
2013-05-01,0.0,1.0
2013-05-02,0.0,1.0
2013-05-03,0.0,1.0
2013-05-06,0.0,1.0
2013-05-07,0.0,1.0
2013-05-08,0.0,1.0
2013-05-09,0.0,1.0
